decomposition_chain_rate,eventA_prime_rate,eventA_prime_total,eventB_prime_rate_given_A,eventB_prime_total,eventC_prime_rate_given_AB,eventC_prime_total,eventD_prime_rate_given_ABC,eventD_prime_total,hit_stage3_rate,hit_stage3_total,stage2_available_rate,stage2_available_total,stage2_stop_reason_count_STOP_AT_OTHER,stage2_stop_reason_count_STOP_AT_STAGE3,stage2_stop_reason_count_STOP_CLEAN_SUCCESS,stage2_stop_reason_count_STOP_WITH_INVALID_EDGE,stage2_stop_reason_count_STOP_WITH_MISSING_TARGET,stage2_stop_reason_rate_STOP_AT_OTHER,stage2_stop_reason_rate_STOP_AT_STAGE3,stage2_stop_reason_rate_STOP_CLEAN_SUCCESS,stage2_stop_reason_rate_STOP_WITH_INVALID_EDGE,stage2_stop_reason_rate_STOP_WITH_MISSING_TARGET,stage2_stop_success_rate,stage2_stop_success_total,stage2_stop_token_rate,stage2_stop_token_total,stage3_stop_success_rate,stage3_stop_success_total,step,success_rate,success_total,task_type,total_pairs
0.0,0.978494623655914,91,1.0,91,0.01098901098901099,1,0.0,0,0.978494623655914,91,0.0,0,0,91,0,1,1,0,0.978494623655914,0,0.010752688172043012,0.010752688172043012,0.0,0,0.021505376344086023,2,0.0,0,5000,0.0,0,s1s2,93
0.0,0.978494623655914,91,1.0,91,0.0,0,0.0,0,1.0,93,0.0,0,0,93,0,0,0,0,1.0,0,0,0,0.0,0,0.0,0,0.0,0,10000,0.0,0,s1s2,93
0.0,0.967741935483871,90,1.0,90,0.0,0,0.0,0,1.0,93,0.0,0,0,92,0,1,0,0,0.989247311827957,0,0.010752688172043012,0,0.0,0,0.010752688172043012,1,0.0,0,15000,0.0,0,s1s2,93
0.0,0.9032258064516129,84,1.0,84,0.0,0,0.0,0,1.0,93,0.0,0,0,93,0,0,0,0,1.0,0,0,0,0.0,0,0.0,0,0.0,0,20000,0.0,0,s1s2,93
0.0,0.9247311827956989,86,0.9883720930232558,85,0.03529411764705882,3,0.0,0,0.967741935483871,90,0.0,0,0,90,0,1,2,0,0.967741935483871,0,0.010752688172043012,0.021505376344086023,0.0,0,0.03225806451612903,3,0.0,0,25000,0.0,0,s1s2,93
0.0,0.967741935483871,90,0.9888888888888889,89,0.0,0,0.0,0,1.0,93,0.0,0,0,93,0,0,0,0,1.0,0,0,0,0.0,0,0.0,0,0.0,0,30000,0.0,0,s1s2,93
0.0,0.956989247311828,89,1.0,89,0.0,0,0.0,0,1.0,93,0.0,0,0,93,0,0,0,0,1.0,0,0,0,0.0,0,0.0,0,0.0,0,35000,0.0,0,s1s2,93
0.010752688172043012,0.956989247311828,89,0.9887640449438202,88,0.011363636363636364,1,1.0,1,0.978494623655914,91,0.0,0,1,91,1,0,0,0.010752688172043012,0.978494623655914,0.010752688172043012,0,0,0.010752688172043012,1,0.010752688172043012,1,0.0,0,40000,0.010752688172043012,1,s1s2,93
0.010752688172043012,0.978494623655914,91,0.989010989010989,90,0.044444444444444446,4,0.25,1,0.946236559139785,88,0.0,0,1,88,1,2,1,0.010752688172043012,0.946236559139785,0.010752688172043012,0.021505376344086023,0.010752688172043012,0.010752688172043012,1,0.043010752688172046,4,0.0,0,45000,0.010752688172043012,1,s1s2,93
0.0,0.967741935483871,90,0.9777777777777777,88,0.022727272727272728,2,0.0,0,0.967741935483871,90,0.0,0,1,90,0,0,2,0.010752688172043012,0.967741935483871,0,0,0.021505376344086023,0.0,0,0.021505376344086023,2,0.0,0,50000,0.0,0,s1s2,93
